v1,coef,low,high,受教育水平
T_4,-0.0204,,,平均水平
,(-0.0273 - -0.0134),-0.0273,-0.0134,平均水平
T_3,-0.00866,,,平均水平
,(-0.0173 - -7.40e-05),-0.0173,-7.40e-05,平均水平
T_2,-0.00551,,,平均水平
,(-0.0140 - 0.00300),-0.0140,0.00300,平均水平
T0,-0.00256,,,平均水平
,(-0.0110 - 0.00585),-0.0110,0.00585,平均水平
T1,-0.0985,,,平均水平
,(-0.112 - -0.0849),-0.112,-0.0849,平均水平
T2,-0.0900,,,平均水平
,(-0.102 - -0.0778),-0.102,-0.0778,平均水平
T3,-0.0850,,,平均水平
,(-0.0956 - -0.0744),-0.0956,-0.0744,平均水平
T4,-0.0917,,,平均水平
,(-0.102 - -0.0818),-0.102,-0.0818,平均水平
T5,-0.0910,,,平均水平
,(-0.100 - -0.0817),-0.100,-0.0817,平均水平
T6,-0.0924,,,平均水平
,(-0.101 - -0.0834),-0.101,-0.0834,平均水平
T7,-0.0858,,,平均水平
,(-0.0945 - -0.0771),-0.0945,-0.0771,平均水平
T8,-0.0802,,,平均水平
,(-0.0868 - -0.0736),-0.0868,-0.0736,平均水平
